id,restaurant_id,name,allergy,price,detail,image,is_out_of_stock,created_at,updated_at
1,106,Enhanced needs-based framework,{dairy},12.57,Yeah movement management free sister blood food. President popular increase response case really.,https://dummyimage.com/14x731,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
2,106,Networked exuding moderator,"{peanuts,dairy}",15.37,Manage human note. Skin control reflect when bank simple surface six.,https://dummyimage.com/1017x412,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
3,106,Right-sized exuding analyzer,"{gluten,fish}",9.43,Behind rate full kid some group. Soon dream her house. Against rise decade each.,https://picsum.photos/437/778,True,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
4,106,Customer-focused composite middleware,{},24.37,Conference leave message far western account need. Quality growth foreign or.,https://picsum.photos/169/240,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
5,106,Customer-focused coherent knowledgebase,{wheat},8.59,Describe lot inside cause. Right last everybody son. Early director address.,https://dummyimage.com/774x219,True,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
6,106,Upgradable contextually-based hardware,"{wheat,shellfish}",20.42,Character already avoid some need share. Beautiful process within people. Firm right produce.,https://dummyimage.com/983x866,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
7,106,Re-contextualized uniform initiative,{},13.84,State last parent interesting. Attention cultural despite around seat early law. Wait step behind.,https://dummyimage.com/131x434,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
8,106,Persistent optimal algorithm,{},33.77,Room example over computer oil size. Alone eye least poor break.,https://picsum.photos/197/29,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
9,106,Advanced zero tolerance time-frame,{},25.2,"Bit nothing hear bad key need. Exactly feeling action either everybody.
Old pick physical stage.",https://picsum.photos/384/894,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
10,106,Synergized secondary concept,{seafood},33.39,Reduce officer on. Decision traditional field run human.,https://dummyimage.com/177x538,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
11,106,Innovative zero administration core,{},39.79,Stage foot approach key doctor both develop. Notice area as religious example citizen bank.,https://picsum.photos/137/288,True,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
12,106,Self-enabling 6thgeneration leverage,"{shellfish,dairy,tree_nuts}",20.77,"Him pull goal join.
Debate example from claim deal. Find section author collection.",https://dummyimage.com/778x20,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
13,106,Managed systemic capacity,"{eggs,gluten,peanuts}",38.17,Choice receive quickly while message try check. Such site range suggest simply.,https://dummyimage.com/335x1020,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
14,106,Multi-channeled upward-trending analyzer,{eggs},28.11,Both knowledge cell call. Bar question bank in bit water. Pattern write here everyone organization.,https://placekitten.com/209/1015,False,2025-07-14 00:55:36.661247,2025-07-14 00:55:36.661247
